english,amharic
body,አካል
hair,ፀጉር
skin,ቆዳ
bone,አጥንት
blood,ደም
tears,እንባ
sweat,ላብ
pus,መግል
saliva,ምራቅ
phlegm,አክታ
head,ጭንቅላት
forehead,ግንባር
comb,ማበጠሪያ
face,ፊት
eyebrow,የቅንድብ
eyes,ዓይኖች
ears,ጆሮዎች
nose,አፍንጫ
mouth,አፍ
tongue,አንደበት
teeth,ጥርስ
beard,ጢም
mustache,ጢም
neck,አንገት
throat,ጉሮሮ
shoulder,ትከሻ
hand,እጅ
right-hand,ቀኝ-እጅ
left-hand,ግራ-እጅ
arm,ክንድ
elbow,ክርን
palm,መዳፍ
finger,ጣት
fingernail,ጥፍር
breast,ጡት
nipple,የጡት ጫፍ
waist,ወገብ
belly,ሆድ
navel,እምብርት
buttocks,መቀመጫዎች
feces,ሰገራ
defecate,መጸዳዳት
urine,ሽንት
urinate,መሽናት
expel,ማባረር
intestinal,አንጀት
gas,ጋዝ
have,አላቸው
fever,ትኩሳት
give,መስጠት
birth,መወለድ
leg,እግር
foot,እግር
thigh,ጭን
knee,ጉልበት
tendon,ጅማት
back,ወደ ኋላ
see,ተመልከት
look,ተመልከት
seek,መፈለግ
hear,መስማት
listen,አዳምጡ
smell,ማሽተት
eat,መብላት
drink,መጠጣት
bite,መንከስ
hold,ያዝ
hand,እጅ
put,አስቀምጧል
place,ቦታ
in,ውስጥ
on,ላይ
push,መግፋት
pull,ይጎትቱ
throw,መወርወር
pick,ይምረጡ
up,ወደላይ
ladle,ladle
walk,መራመድ
stop,አቁም
run,መሮጥ
sit,ተቀመጥ
stand,ቁም
up,ወደላይ
cough,ሳል
one,አንድ
two,ሁለት
three,ሶስት
four,አራት
five,አምስት
six,ስድስት
seven,ሰባት
eight,ስምንት
nine,ዘጠኝ
ten,አስር
eleven,አስራ አንድ
twelve,አሥራ ሁለት
twenty,ሀያ
ninety,ዘጠና
nine,ዘጠኝ
hundred,መቶ
one,አንድ
ten,አስር
thousand,ሺህ
one,አንድ
hundred,መቶ
thousand,ሺህ
one,አንድ
million,ሚሊዮን
many,ብዙ
few,ጥቂት
all,ሁሉም
only,ብቻ
person,ሰው
sky,ሰማይ
cloud,ደመና
fog,ጭጋግ
sun,ፀሐይ
moon,ጨረቃ
star,ኮከብ
wind,ንፋስ
blow,ንፉ
rain,ዝናብ
it,ነው።
rains,ዝናብ
light,ብርሃን
shadow,ጥላ
bright,ብሩህ
dark,ጨለማ
thunder,ነጎድጓድ
it,ነው።
thunders,ነጎድጓድ
soil,አፈር
earth,ምድር
stone,ድንጋይ
sand,አሸዋ
iron,ብረት
rust,ዝገት
gold,ወርቅ
silver,ብር
copper,መዳብ
hill,ኮረብታ
mountain,ተራራ፡
valley,ሸለቆ
water,ውሃ
lake,ሀይቅ፡
river,ወንዝ
fire,እሳት፡
smoke,ጭስ
house,ቤት
roof,ጣሪያ
grave,መቃብር፡
open,ክፍት ነው።
close,መዝጋት
pillar,ምሰሶ
door,በር
window,መስኮት
floor,ወለል
key,ቁልፍ
mat,ምንጣፍ
covering,መሸፈን
pillow,ትራስ
mosquito,ትንኝ
net,የተጣራ
