,english,amharic
0,body,አካል
1,hair,ፀጉር
2,skin,ቆዳ
3,bone,አጥንት
4,blood,ደም
5,tears,እንባ
6,sweat,ላብ
7,pus,መግል
8,saliva,ምራቅ
9,phlegm,አክታ
10,head,ጭንቅላት
11,forehead,ግንባር
12,comb,ማበጠሪያ
13,face,ፊት
14,eyebrow,የቅንድብ
15,eyes,ዓይኖች
16,ears,ጆሮዎች
17,nose,አፍንጫ
18,mouth,አፍ
19,tongue,አንደበት
20,teeth,ጥርስ
21,beard,ጢም
22,mustache,ጢም
23,neck,አንገት
24,throat,ጉሮሮ
25,shoulder,ትከሻ
26,hand,እጅ
27,right-hand,ቀኝ-እጅ
28,left-hand,ግራ-እጅ
29,arm,ክንድ
30,elbow,ክርን
31,palm,መዳፍ
32,finger,ጣት
33,fingernail,ጥፍር
34,breast,ጡት
35,nipple,የጡት ጫፍ
36,waist,ወገብ
37,belly,ሆድ
38,navel,እምብርት
39,buttocks,መቀመጫዎች
40,feces,ሰገራ
41,defecate,መጸዳዳት
42,urine,ሽንት
43,urinate,መሽናት
44,expel,ማባረር
45,intestinal,አንጀት
46,gas,ጋዝ
47,have,አላቸው
48,fever,ትኩሳት
49,give,መስጠት
50,birth,መወለድ
51,leg,እግር
52,foot,እግር
53,thigh,ጭን
54,knee,ጉልበት
55,tendon,ጅማት
56,back,ወደ ኋላ
57,see,ተመልከት
58,look,ተመልከት
59,seek,መፈለግ
60,hear,መስማት
61,listen,አዳምጡ
62,smell,ማሽተት
63,eat,መብላት
64,drink,መጠጣት
65,bite,መንከስ
66,hold,ያዝ
67,hand,እጅ
68,put,አስቀምጧል
69,place,ቦታ
70,in,ውስጥ
71,on,ላይ
72,push,መግፋት
73,pull,ይጎትቱ
74,throw,መወርወር
75,pick,ይምረጡ
76,up,ወደላይ
77,ladle,ladle
78,walk,መራመድ
79,stop,አቁም
80,run,መሮጥ
81,sit,ተቀመጥ
82,stand,ቁም
83,up,ወደላይ
84,cough,ሳል
85,one,አንድ
86,two,ሁለት
87,three,ሶስት
88,four,አራት
89,five,አምስት
90,six,ስድስት
91,seven,ሰባት
92,eight,ስምንት
93,nine,ዘጠኝ
94,ten,አስር
95,eleven,አስራ አንድ
96,twelve,አሥራ ሁለት
97,twenty,ሀያ
98,ninety,ዘጠና
99,nine,ዘጠኝ
100,hundred,መቶ
101,one,አንድ
102,ten,አስር
103,thousand,ሺህ
104,one,አንድ
105,hundred,መቶ
106,thousand,ሺህ
107,one,አንድ
108,million,ሚሊዮን
109,many,ብዙ
110,few,ጥቂት
111,all,ሁሉም
112,only,ብቻ
113,person,ሰው
114,sky,ሰማይ
115,cloud,ደመና
116,fog,ጭጋግ
117,sun,ፀሐይ
118,moon,ጨረቃ
119,star,ኮከብ
120,wind,ንፋስ
121,blow,ንፉ
122,rain,ዝናብ
123,it,ነው።
124,rains,ዝናብ
125,light,ብርሃን
126,shadow,ጥላ
127,bright,ብሩህ
128,thunder,ነጎድጓድ
129,it,ነው።
130,thunders,ነጎድጓድ
131,soil,አፈር
132,earth,ምድር
133,stone,ድንጋይ
134,sand,አሸዋ
135,iron,ብረት
136,rust,ዝገት
137,gold,ወርቅ
138,silver,ብር
139,copper,መዳብ
140,hill,ኮረብታ
141,mountain,ተራራ፡
142,valley,ሸለቆ
143,water,ውሃ
144,lake,ሀይቅ፡
145,river,ወንዝ
146,fire,እሳት፡
147,smoke,ጭስ
148,house,ቤት
149,roof,ጣሪያ
150,grave,መቃብር፡
151,open,ክፍት ነው።
152,close,መዝጋት
153,pillar,ምሰሶ
154,door,በር
155,window,መስኮት
156,floor,ወለል
157,key,ቁልፍ
158,mat,ምንጣፍ
159,covering,መሸፈን
160,pillow,ትራስ
161,mosquito,ትንኝ
162,net,የተጣራ
